20250526_HM464MoNbRu2_chiAC_vs_T_B_1T.002.txt Mon, May 26, 2025 4:31:25 PM Gabe
Magnet: None
Trigger spacing of 0.010000 on column #3
Offsets:	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0

Scale Factors:	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0

1T
Lockin_V_002	Chan2_V_002	Temperature_002	Field_002	Timestamp_002
-1.490130000E-7	1.266610000E-7	4.997900000E+0	9.999703125E+3	3.000000000E-2
-1.490130000E-7	1.862650000E-7	4.985900000E+0	9.999703125E+3	2.667600000E+1
-1.788150000E-7	9.685800000E-8	4.974300000E+0	9.999703125E+3	2.865700000E+1
-7.450630000E-8	5.960510000E-8	4.964000000E+0	9.999703125E+3	3.068700000E+1
-1.639140000E-7	-6.705570000E-8	4.952200000E+0	9.999703125E+3	3.303400000E+1
-2.235180000E-7	-3.725310000E-8	4.941500000E+0	9.999703125E+3	3.543900000E+1
-2.533220000E-7	-2.980250000E-8	4.931200000E+0	9.999703125E+3	3.707300000E+1
-1.192100000E-7	-5.960510000E-8	4.920800000E+0	9.999703125E+3	3.942800000E+1
-1.862650000E-7	-9.685800000E-8	4.910200000E+0	9.999703125E+3	4.142800000E+1
-3.725310000E-7	8.940740000E-8	4.898100000E+0	9.999703125E+3	4.389500000E+1
-3.501790000E-7	-4.470370000E-8	4.888000000E+0	9.999703125E+3	4.626500000E+1
-5.215440000E-7	1.043090000E-7	4.877600000E+0	9.999703125E+3	4.824400000E+1
-5.066430000E-7	1.862650000E-7	4.866000000E+0	9.999703125E+3	5.024500000E+1
-4.097840000E-7	2.235180000E-7	4.855000000E+0	9.999703125E+3	5.267100000E+1
-3.874320000E-7	5.960510000E-8	4.844100000E+0	9.999703125E+3	5.464400000E+1
-2.831240000E-7	7.450640000E-9	4.833200000E+0	9.999703125E+3	5.675200000E+1
-4.917420000E-7	2.011670000E-7	4.821000000E+0	9.999703125E+3	5.951400000E+1
-4.395860000E-7	6.705570000E-8	4.809800000E+0	9.999703125E+3	6.145800000E+1
-5.960500000E-7	2.533220000E-7	4.799200000E+0	9.999703125E+3	6.350400000E+1
-3.352780000E-7	6.705570000E-8	4.788500000E+0	9.999703125E+3	6.624300000E+1
-4.693880000E-7	3.129260000E-7	4.777100000E+0	9.999703125E+3	6.788000000E+1
-4.470370000E-7	5.662480000E-7	4.766600000E+0	9.999703125E+3	7.077500000E+1
-5.513470000E-7	4.619380000E-7	4.756500000E+0	9.999703125E+3	7.243400000E+1
-5.736980000E-7	3.948830000E-7	4.744600000E+0	9.999703125E+3	7.444400000E+1
-5.736980000E-7	3.203770000E-7	4.733500000E+0	9.999703125E+3	7.678500000E+1
-5.438960000E-7	6.109510000E-7	4.722100000E+0	9.999703125E+3	7.879100000E+1
-4.619380000E-7	6.556550000E-7	4.709700000E+0	9.999703125E+3	8.178100000E+1
-3.874320000E-7	4.544870000E-7	4.697300000E+0	9.999703125E+3	8.399600000E+1
-2.756730000E-7	6.184020000E-7	4.687100000E+0	9.999703125E+3	8.600100000E+1
-4.023330000E-7	8.121170000E-7	4.676900000E+0	9.999703125E+3	8.865100000E+1
-3.203770000E-7	6.780060000E-7	4.664100000E+0	9.999703125E+3	9.042900000E+1
-3.054760000E-7	6.333030000E-7	4.653300000E+0	9.999703125E+3	9.240600000E+1
-3.427290000E-7	5.960500000E-7	4.642000000E+0	9.999703125E+3	9.519200000E+1
-3.203770000E-7	5.289950000E-7	4.631500000E+0	9.999703125E+3	9.720500000E+1
-3.203770000E-7	7.152590000E-7	4.619500000E+0	9.999703125E+3	9.933500000E+1
-1.490130000E-7	3.278270000E-7	4.608100000E+0	9.999703125E+3	1.019860000E+2
-2.980250000E-7	7.152590000E-7	4.594900000E+0	9.999703125E+3	1.040110000E+2
-3.352780000E-7	5.662480000E-7	4.582900000E+0	9.999703125E+3	1.070590000E+2
-2.011670000E-7	3.278270000E-7	4.570900000E+0	9.999703125E+3	1.091900000E+2
-3.129260000E-7	4.842910000E-7	4.560300000E+0	9.999703125E+3	1.117330000E+2
-2.011670000E-7	4.619380000E-7	4.549400000E+0	9.999703125E+3	1.135920000E+2
-2.160680000E-7	4.991930000E-7	4.536900000E+0	9.999703125E+3	1.156040000E+2
-3.203770000E-7	4.395860000E-7	4.526600000E+0	9.999703125E+3	1.185440000E+2
-2.235180000E-7	5.736980000E-7	4.514300000E+0	9.999703125E+3	1.204000000E+2
-3.203770000E-7	6.631050000E-7	4.501400000E+0	9.999703125E+3	1.233820000E+2
-3.650800000E-7	6.035010000E-7	4.489700000E+0	9.999703125E+3	1.258070000E+2
-3.203770000E-7	6.333030000E-7	4.476100000E+0	9.999703125E+3	1.284310000E+2
-3.203770000E-7	7.152590000E-7	4.464400000E+0	9.999703125E+3	1.305420000E+2
-3.203770000E-7	7.897650000E-7	4.454200000E+0	9.999703125E+3	1.329850000E+2
-1.937160000E-7	6.780060000E-7	4.441800000E+0	9.999703125E+3	1.348320000E+2
-2.831240000E-7	6.854570000E-7	4.431500000E+0	9.999703125E+3	1.373860000E+2
-2.384200000E-7	6.929080000E-7	4.421000000E+0	9.999703125E+3	1.393350000E+2
-2.309690000E-7	7.450620000E-7	4.409000000E+0	9.999703125E+3	1.416280000E+2
-2.309690000E-7	7.078090000E-7	4.398400000E+0	9.999703125E+3	1.435940000E+2
-2.607720000E-7	7.003580000E-7	4.386000000E+0	9.999703125E+3	1.462980000E+2
-3.054760000E-7	7.972160000E-7	4.375800000E+0	9.999703125E+3	1.484230000E+2
-2.607720000E-7	8.493700000E-7	4.363200000E+0	9.999703125E+3	1.510090000E+2
-2.086170000E-7	7.376110000E-7	4.352900000E+0	9.999703125E+3	1.528640000E+2
-2.011670000E-7	7.301610000E-7	4.342400000E+0	9.999703125E+3	1.548290000E+2
-1.266610000E-7	7.450620000E-7	4.330400000E+0	9.999703125E+3	1.572230000E+2
-1.266610000E-7	5.587970000E-7	4.319000000E+0	9.999703125E+3	1.596810000E+2
-1.192100000E-7	3.650800000E-7	4.308700000E+0	9.999703125E+3	1.620260000E+2
-2.756730000E-7	4.321350000E-7	4.298500000E+0	9.999703125E+3	1.641600000E+2
-1.490130000E-7	1.937160000E-7	4.286500000E+0	9.999703125E+3	1.659100000E+2
-4.395860000E-7	3.129260000E-7	4.276100000E+0	9.999703125E+3	1.684530000E+2
-4.246850000E-7	1.490130000E-8	4.264800000E+0	9.999703125E+3	1.702920000E+2
-5.513470000E-7	-8.940740000E-8	4.252100000E+0	9.999703125E+3	1.732140000E+2
-6.109510000E-7	-2.086170000E-7	4.239800000E+0	9.999703125E+3	1.756740000E+2
-7.823150000E-7	-4.470370000E-7	4.228500000E+0	9.999703125E+3	1.777370000E+2
-8.046660000E-7	-6.258520000E-7	4.217400000E+0	9.999703125E+3	1.804160000E+2
-1.020740000E-6	-8.940730000E-7	4.204600000E+0	9.999703125E+3	1.820260000E+2
-1.348560000E-6	-1.333660000E-6	4.193900000E+0	9.999703125E+3	1.851450000E+2
-1.557180000E-6	-1.452870000E-6	4.182600000E+0	9.999703125E+3	1.868040000E+2
-1.996770000E-6	-1.631680000E-6	4.170200000E+0	9.999703125E+3	1.897470000E+2
-2.272440000E-6	-2.160680000E-6	4.157600000E+0	9.999703125E+3	1.919800000E+2
-2.667320000E-6	-2.630070000E-6	4.146100000E+0	9.999703125E+3	1.940620000E+2
-2.913190000E-6	-3.099460000E-6	4.134300000E+0	9.999703125E+3	1.969620000E+2
-3.233570000E-6	-3.531590000E-6	4.122700000E+0	9.999703125E+3	1.989640000E+2
-3.680600000E-6	-3.941390000E-6	4.110800000E+0	9.999703125E+3	2.013490000E+2
-4.187260000E-6	-4.217060000E-6	4.100200000E+0	9.999703125E+3	2.033710000E+2
-4.693890000E-6	-4.693890000E-6	4.088400000E+0	9.999703125E+3	2.059370000E+2
-5.193080000E-6	-5.058970000E-6	4.077100000E+0	9.999703125E+3	2.082030000E+2
-5.692270000E-6	-5.565610000E-6	4.065100000E+0	9.999703125E+3	2.106040000E+2
-6.482030000E-6	-5.915790000E-6	4.053800000E+0	9.999703125E+3	2.127600000E+2
-6.847110000E-6	-6.474580000E-6	4.042800000E+0	9.999703125E+3	2.153470000E+2
-7.301600000E-6	-6.958870000E-6	4.029700000E+0	9.999703125E+3	2.169500000E+2
-8.180800000E-6	-7.450610000E-6	4.018500000E+0	9.999703125E+3	2.200110000E+2
-8.992910000E-6	-8.300000000E-6	4.005100000E+0	9.999703125E+3	2.227720000E+2
-9.417590000E-6	-8.411760000E-6	3.994900000E+0	9.999703125E+3	2.242210000E+2
-1.028930000E-5	-8.851350000E-6	3.983200000E+0	9.999703125E+3	2.271300000E+2
-1.068420000E-5	-9.477200000E-6	3.971900000E+0	9.999703125E+3	2.285550000E+2
-1.171980000E-5	-1.032660000E-5	3.960300000E+0	9.999703125E+3	2.315810000E+2
