20250523_HM463Mo3NbRu2_chiAC_vs_T_B_0.001.txt Fri, May 23, 2025 1:31:54 PM Gabe
Magnet: None
Trigger spacing of 0.010000 on column #3
Offsets:	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0

Scale Factors:	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0

0T
Lockin_V_001	Chan2_V_001	Temperature_001	Field_001	Timestamp_001
-1.043090000E-7	-4.470370000E-8	5.515800000E+0	-9.026970714E-2	4.400000000E-2
0.000000000E+0	-4.470370000E-8	5.503900000E+0	-9.026970714E-2	2.142000000E+0
-5.215430000E-8	-5.215430000E-8	5.493300000E+0	-9.026970714E-2	3.238800000E+1
-5.960510000E-8	1.490130000E-8	5.469900000E+0	-9.026970714E-2	8.811400000E+1
-9.685800000E-8	-2.980250000E-8	5.481400000E+0	-9.026970714E-2	8.928500000E+1
-1.341110000E-7	-8.195680000E-8	5.469000000E+0	-9.026970714E-2	1.001340000E+2
-1.266610000E-7	-6.705570000E-8	5.452200000E+0	-9.026970714E-2	1.009250000E+2
-8.940740000E-8	-2.235190000E-8	5.422200000E+0	-9.026970714E-2	1.043170000E+2
-9.685800000E-8	-2.980250000E-8	5.392900000E+0	-9.026970714E-2	1.062510000E+2
-9.685800000E-8	-4.470370000E-8	5.404400000E+0	-9.026970714E-2	1.066430000E+2
-1.341110000E-7	-5.215430000E-8	5.420300000E+0	-9.026970714E-2	1.074440000E+2
-1.192100000E-7	-2.235190000E-8	5.406400000E+0	-9.026970714E-2	1.102730000E+2
-2.682230000E-7	-1.043090000E-7	5.400300000E+0	-9.026970714E-2	1.218870000E+2
-1.937160000E-7	-2.980250000E-8	5.389800000E+0	-9.026970714E-2	1.239040000E+2
-1.490130000E-7	-7.450640000E-9	5.376600000E+0	-9.026970714E-2	1.270410000E+2
-1.639140000E-7	-6.705570000E-8	5.366000000E+0	-9.026970714E-2	1.342820000E+2
-1.415620000E-7	0.000000000E+0	5.354400000E+0	-9.026970714E-2	1.398530000E+2
-1.341110000E-7	-4.470370000E-8	5.342200000E+0	-9.026970714E-2	1.414230000E+2
-1.564630000E-7	-2.235190000E-8	5.329800000E+0	-9.026970714E-2	1.434880000E+2
-2.011670000E-7	-6.705570000E-8	5.318100000E+0	-9.026970714E-2	1.458380000E+2
-2.011670000E-7	-2.980250000E-8	5.308100000E+0	-9.026970714E-2	1.474560000E+2
-2.086170000E-7	-2.980250000E-8	5.297700000E+0	-9.026970714E-2	1.490440000E+2
-2.607720000E-7	-6.705570000E-8	5.285400000E+0	-9.026970714E-2	1.506140000E+2
-2.756730000E-7	-7.450630000E-8	5.274700000E+0	-9.026970714E-2	1.526210000E+2
-3.129260000E-7	-5.960510000E-8	5.264500000E+0	-9.026970714E-2	1.542170000E+2
-2.905740000E-7	-8.195680000E-8	5.254100000E+0	-9.026970714E-2	1.558070000E+2
-3.352780000E-7	-6.705570000E-8	5.241100000E+0	-9.026970714E-2	1.578210000E+2
-3.203770000E-7	-7.450630000E-8	5.229300000E+0	-9.026970714E-2	1.598700000E+2
-3.501790000E-7	-1.117590000E-7	5.218800000E+0	-9.026970714E-2	1.614130000E+2
-3.501790000E-7	-1.490130000E-7	5.205000000E+0	-9.026970714E-2	1.634030000E+2
-4.395860000E-7	-2.831240000E-7	5.193700000E+0	-9.026970714E-2	1.654530000E+2
-5.438960000E-7	-3.874320000E-7	5.183300000E+0	-9.026970714E-2	1.670050000E+2
-6.705560000E-7	-7.972160000E-7	5.171300000E+0	-9.026970714E-2	1.690190000E+2
-9.536820000E-7	-1.370910000E-6	5.161000000E+0	-9.026970714E-2	1.706080000E+2
-1.743440000E-6	-2.697120000E-6	5.150300000E+0	-9.026970714E-2	1.728880000E+2
-2.667320000E-6	-3.859430000E-6	5.138600000E+0	-9.026970714E-2	1.743500000E+2
-5.222890000E-6	-5.945590000E-6	5.126300000E+0	-9.026970714E-2	1.765610000E+2
-7.882770000E-6	-7.353750000E-6	5.115700000E+0	-9.026970714E-2	1.780740000E+2
-1.300130000E-5	-8.694890000E-6	5.102800000E+0	-9.026970714E-2	1.803970000E+2
-1.796350000E-5	-8.821550000E-6	5.092100000E+0	-9.026970714E-2	1.825980000E+2
-2.110020000E-5	-8.568230000E-6	5.081800000E+0	-9.026970714E-2	1.841100000E+2
-2.488510000E-5	-8.009430000E-6	5.070300000E+0	-9.026970714E-2	1.858210000E+2
-2.850600000E-5	-7.331400000E-6	5.058000000E+0	-9.026970714E-2	1.878310000E+2
-3.177700000E-5	-6.541640000E-6	5.045900000E+0	-9.026970714E-2	1.903520000E+2
-3.360240000E-5	-6.020100000E-6	5.035400000E+0	-9.026970714E-2	1.919420000E+2
-3.588970000E-5	-5.349550000E-6	5.025000000E+0	-9.026970714E-2	1.940550000E+2
-3.740210000E-5	-4.880160000E-6	5.014900000E+0	-9.026970714E-2	1.959430000E+2
-3.846760000E-5	-4.515080000E-6	5.004200000E+0	-9.026970714E-2	1.976840000E+2
-3.990550000E-5	-4.060600000E-6	4.990200000E+0	-9.026970714E-2	2.002190000E+2
-4.102310000E-5	-3.665700000E-6	4.980000000E+0	-9.026970714E-2	2.024600000E+2
-4.173090000E-5	-3.397480000E-6	4.968100000E+0	-9.026970714E-2	2.040670000E+2
-4.275170000E-5	-3.032400000E-6	4.956600000E+0	-9.026970714E-2	2.070090000E+2
-4.325090000E-5	-2.808880000E-6	4.944400000E+0	-9.026970714E-2	2.088580000E+2
-4.380220000E-5	-2.600270000E-6	4.932200000E+0	-9.026970714E-2	2.108750000E+2
-4.453240000E-5	-2.279890000E-6	4.920300000E+0	-9.026970714E-2	2.139170000E+2
-4.486020000E-5	-2.078730000E-6	4.907400000E+0	-9.026970714E-2	2.156850000E+2
-4.528490000E-5	-1.877550000E-6	4.897000000E+0	-9.026970714E-2	2.181000000E+2
-4.554560000E-5	-1.735990000E-6	4.885100000E+0	-9.026970714E-2	2.199320000E+2
-4.593310000E-5	-1.549730000E-6	4.873200000E+0	-9.026970714E-2	2.224640000E+2
-4.609700000E-5	-1.452870000E-6	4.862600000E+0	-9.026970714E-2	2.243160000E+2
-4.636520000E-5	-1.288960000E-6	4.851000000E+0	-9.026970714E-2	2.267300000E+2
-4.657380000E-5	-1.207000000E-6	4.840500000E+0	-9.026970714E-2	2.288680000E+2
-4.678990000E-5	-1.110140000E-6	4.830400000E+0	-9.026970714E-2	2.306580000E+2
-4.694630000E-5	-1.080340000E-6	4.819900000E+0	-9.026970714E-2	2.331180000E+2
-4.707300000E-5	-1.005840000E-6	4.807400000E+0	-9.026970714E-2	2.349880000E+2
-4.716990000E-5	-9.387770000E-7	4.796800000E+0	-9.026970714E-2	2.374080000E+2
-4.733380000E-5	-8.791720000E-7	4.785600000E+0	-9.026970714E-2	2.395440000E+2
-4.745300000E-5	-8.270180000E-7	4.774600000E+0	-9.026970714E-2	2.412500000E+2
-4.757220000E-5	-8.270180000E-7	4.764400000E+0	-9.026970714E-2	2.438510000E+2
-4.765410000E-5	-7.674130000E-7	4.752400000E+0	-9.026970714E-2	2.460710000E+2
-4.775850000E-5	-7.674130000E-7	4.742100000E+0	-9.026970714E-2	2.480650000E+2
-4.784040000E-5	-7.003580000E-7	4.731700000E+0	-9.026970714E-2	2.499600000E+2
-4.792980000E-5	-6.482040000E-7	4.721400000E+0	-9.026970714E-2	2.524360000E+2
-4.795220000E-5	-6.333030000E-7	4.710300000E+0	-9.026970714E-2	2.544630000E+2
-4.801180000E-5	-6.556550000E-7	4.698300000E+0	-9.026970714E-2	2.563070000E+2
-4.815330000E-5	-6.035010000E-7	4.685300000E+0	-9.026970714E-2	2.592850000E+2
-4.819060000E-5	-5.736980000E-7	4.674800000E+0	-9.026970714E-2	2.618200000E+2
-4.826510000E-5	-5.736980000E-7	4.664400000E+0	-9.026970714E-2	2.631170000E+2
-4.825760000E-5	-5.140940000E-7	4.652500000E+0	-9.026970714E-2	2.660350000E+2
-4.833960000E-5	-4.917420000E-7	4.640800000E+0	-9.026970714E-2	2.679550000E+2
-4.844390000E-5	-4.842910000E-7	4.627300000E+0	-9.026970714E-2	2.708860000E+2
-4.845880000E-5	-4.768410000E-7	4.616400000E+0	-9.026970714E-2	2.729120000E+2
-4.853330000E-5	-3.725310000E-7	4.604500000E+0	-9.026970714E-2	2.757180000E+2
-4.860780000E-5	-4.246850000E-7	4.592000000E+0	-9.026970714E-2	2.776670000E+2
-4.860040000E-5	-4.097840000E-7	4.581400000E+0	-9.026970714E-2	2.800660000E+2
-4.867490000E-5	-3.874320000E-7	4.568500000E+0	-9.026970714E-2	2.824470000E+2
-4.868230000E-5	-3.129260000E-7	4.557300000E+0	-9.026970714E-2	2.844370000E+2
-4.871960000E-5	-3.203770000E-7	4.546300000E+0	-9.026970714E-2	2.868380000E+2
-4.877170000E-5	-3.427290000E-7	4.534400000E+0	-9.026970714E-2	2.896630000E+2
-4.877170000E-5	-3.650800000E-7	4.523900000E+0	-9.026970714E-2	2.916480000E+2
-4.886110000E-5	-2.533220000E-7	4.513500000E+0	-9.026970714E-2	2.934530000E+2
-4.883880000E-5	-3.203770000E-7	4.503200000E+0	-9.026970714E-2	2.955010000E+2
-4.890580000E-5	-2.607720000E-7	4.491900000E+0	-9.026970714E-2	2.975100000E+2
-4.889840000E-5	-2.607720000E-7	4.480700000E+0	-9.026970714E-2	3.003170000E+2
-4.889840000E-5	-2.905740000E-7	4.469500000E+0	-9.026970714E-2	3.023080000E+2
-4.898030000E-5	-2.831240000E-7	4.458400000E+0	-9.026970714E-2	3.049980000E+2
-4.902510000E-5	-2.607720000E-7	4.448300000E+0	-9.026970714E-2	3.061910000E+2
-4.899530000E-5	-2.607720000E-7	4.437500000E+0	-9.026970714E-2	3.091130000E+2
-4.902510000E-5	-2.533220000E-7	4.427300000E+0	-9.026970714E-2	3.109960000E+2
-4.900270000E-5	-2.309690000E-7	4.415700000E+0	-9.026970714E-2	3.124470000E+2
-4.905490000E-5	-2.607720000E-7	4.405300000E+0	-9.026970714E-2	3.155380000E+2
-4.905490000E-5	-2.235180000E-7	4.390700000E+0	-9.026970714E-2	3.177790000E+2
-4.907720000E-5	-2.309690000E-7	4.378100000E+0	-9.026970714E-2	3.207810000E+2
-4.917410000E-5	-2.458710000E-7	4.366600000E+0	-9.026970714E-2	3.226970000E+2
-4.915920000E-5	-2.011670000E-7	4.354500000E+0	-9.026970714E-2	3.255250000E+2
-4.918900000E-5	-1.639140000E-7	4.341500000E+0	-9.026970714E-2	3.275410000E+2
-4.915170000E-5	-2.011670000E-7	4.329700000E+0	-9.026970714E-2	3.304450000E+2
-4.917410000E-5	-2.086170000E-7	4.316400000E+0	-9.026970714E-2	3.329460000E+2
