20240423_HM455NbTa2Zr_chiAC_vs_T_B_2T.001.txt Wed, Apr 23, 2025 3:55:43 PM Juan Gabe
Magnet: None
Trigger spacing of 0.010000 on column #3
Offsets:	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0

Scale Factors:	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0

2T
Lockin_V_001	Chan2_V_001	Temperture_001	Field_001	Timestamp_001
-5.215430000E-8	-8.136090000E-6	9.000800000E+0	1.999961523E+4	2.800000000E-2
2.086170000E-7	-8.136090000E-6	8.990000000E+0	1.999961523E+4	6.293100000E+1
2.682230000E-7	-8.113740000E-6	8.977800000E+0	1.999961523E+4	6.493500000E+1
2.831240000E-7	-7.964730000E-6	8.966700000E+0	1.999961523E+4	6.654200000E+1
2.458710000E-7	-7.927480000E-6	8.955300000E+0	1.999961523E+4	6.808200000E+1
1.862650000E-7	-7.905120000E-6	8.943700000E+0	1.999961523E+4	7.047600000E+1
2.905740000E-7	-7.957280000E-6	8.933200000E+0	1.999961523E+4	7.291900000E+1
2.384200000E-7	-7.994530000E-6	8.922100000E+0	1.999961523E+4	7.489300000E+1
1.639140000E-7	-7.920030000E-6	8.911200000E+0	1.999961523E+4	7.691600000E+1
1.639140000E-7	-7.815720000E-6	8.901100000E+0	1.999961523E+4	7.889200000E+1
8.940740000E-8	-7.845520000E-6	8.890100000E+0	1.999961523E+4	8.101100000E+1
1.266610000E-7	-7.800820000E-6	8.879600000E+0	1.999961523E+4	8.302100000E+1
1.862650000E-7	-7.905120000E-6	8.869200000E+0	1.999961523E+4	8.541400000E+1
8.195680000E-8	-7.964730000E-6	8.856500000E+0	1.999961523E+4	8.838700000E+1
1.937160000E-7	-7.823170000E-6	8.845600000E+0	1.999961523E+4	9.036900000E+1
2.384200000E-7	-7.860420000E-6	8.834800000E+0	1.999961523E+4	9.209600000E+1
1.192100000E-7	-7.830620000E-6	8.824200000E+0	1.999961523E+4	9.451500000E+1
9.685800000E-8	-7.823170000E-6	8.813900000E+0	1.999961523E+4	9.647200000E+1
1.415620000E-7	-7.979630000E-6	8.801600000E+0	1.999961523E+4	9.847700000E+1
1.117590000E-7	-7.905120000E-6	8.790300000E+0	1.999961523E+4	1.012610000E+2
5.215430000E-8	-7.800820000E-6	8.779400000E+0	1.999961523E+4	1.032980000E+2
1.415620000E-7	-7.942380000E-6	8.768100000E+0	1.999961523E+4	1.057340000E+2
9.685800000E-8	-7.987080000E-6	8.757000000E+0	1.999961523E+4	1.077060000E+2
2.384200000E-7	-8.009430000E-6	8.746000000E+0	1.999961523E+4	1.096700000E+2
2.160680000E-7	-7.845520000E-6	8.733200000E+0	1.999961523E+4	1.124680000E+2
3.129260000E-7	-7.912570000E-6	8.722200000E+0	1.999961523E+4	1.145110000E+2
2.980250000E-7	-7.972180000E-6	8.711700000E+0	1.999961523E+4	1.168740000E+2
